iter	Passed	Remaining
210	37136	138864
211	37319	138716
212	37526	138655
213	37731	138583
214	37892	138352
215	38083	138228
216	38250	138018
217	38395	137729
218	38561	137517
219	38713	137256
220	38909	137152
221	39087	136980
222	39265	136811
223	39449	136663
224	39648	136565
225	39848	136471
226	40036	136336
227	40201	136119
228	40403	136030
229	40582	135862
230	40716	135546
231	40891	135364
232	41068	135191
233	41256	135053
234	41437	134892
235	41604	134685
236	41776	134496
237	41957	134333
238	42151	134215
239	42334	134057
240	42522	133920
241	42665	133636
242	42814	133378
243	42989	133197
244	43188	133090
245	43363	132911
246	43536	132723
247	43737	132623
248	43886	132363
249	44045	132137
250	44236	132005
251	44445	131924
252	44672	131899
253	44844	131709
254	45019	131526
255	45200	131363
256	45342	131087
257	45550	131002
258	45728	130828
259	45900	130641
260	46084	130484
261	46267	130326
262	46458	130189
263	46660	130083
264	46807	129824
265	46989	129663
266	47242	129695
267	47464	129640
268	47686	129587
269	47845	129360
270	48042	129237
271	48225	129074
272	48387	128856
273	48582	128725
274	48824	128720
275	49022	128596
276	49205	128432
277	49437	128395
278	49650	128308
279	49837	128154
280	50039	128037
281	50192	127796
282	50390	127667
283	50567	127486
284	50797	127440
285	50983	127281
286	51190	127172
287	51367	126990
288	51539	126796
289	51708	126596
290	51868	126373
291	52043	126188
292	52167	125878
293	52336	125679
294	52519	125511
295	52672	125276
296	52856	125112
297	53037	124941
298	53207	124743
299	53392	124581
300	53544	124344
301	53716	124152
302	53936	124071
303	54112	123889
304	54294	123720
305	54464	123524
306	54621	123298
307	54791	123102
308	54997	122987
309	55172	122803
310	55316	122549
311	55509	122406
312	55696	122247
313	55878	122077
314	56095	121986
315	56322	121912
316	56529	121796
317	56694	121591
318	56886	121442
319	57115	121370
320	57288	121179
321	57468	121004
322	57676	120888
323	57883	120768
324	58083	120635
325	58242	120416
326	58421	120237
327	58595	120048
328	58780	119882
329	58968	119724
330	59144	119540
331	59298	119310
332	59474	119128
333	59659	118962
334	59833	118774
335	60030	118630
336	60214	118462
337	60378	118256
338	60575	118112
339	60773	117971
340	60951	117792
341	61143	117638
342	61304	117426
343	61496	117273
344	61736	117209
345	61963	117122
346	62151	116959
347	62323	116766
348	62564	116702
349	62787	116606
350	62962	116417
351	63155	116263
352	63323	116063
353	63507	115892
354	63688	115715
355	63857	115517
356	64033	115331
357	64224	115174
358	64378	114948
359	64587	114821
360	64835	114764
361	65026	114604
362	65233	114473
363	65399	114269
364	65594	114115
365	65744	113885
366	65888	113644
367	66092	113506
368	66287	113353
369	66490	113214
370	66702	113088
371	66907	112951
372	67128	112841
373	67351	112731
374	67538	112564
375	67730	112403
376	67937	112267
377	68124	112098
378	68324	111950
379	68513	111784
380	68699	111614
381	68907	111479
382	69097	111314
383	69281	111138
384	69471	110973
385	69664	110813
386	69848	110639
387	70012	110431
388	70162	110203
389	70333	110009
390	70516	109832
391	70690	109642
392	70857	109441
393	71032	109253
394	71198	109050
395	71368	108855
396	71575	108715
397	71758	108539
398	71964	108397
399	72190	108285
400	72383	108124
401	72579	107966
402	72748	107769
403	72939	107603
404	73125	107431
405	73300	107243
406	73459	107030
407	73673	106898
408	73848	106710
409	74046	106555
410	74223	106368
411	74378	106152
412	74572	105990
413	74768	105831
414	74970	105681
415	75153	105504
416	75341	105333
417	75518	105147
418	75705	104975
419	75891	104802
420	76050	104591
421	76272	104467
422	76459	104295
423	76641	104116
424	76835	103954
425	77019	103778
426	77282	103707
427	77477	103544
428	77678	103390
429	77876	103231
430	78054	103046
431	78224	102850
432	78413	102680
433	78589	102491
434	78794	102342
435	78970	102153
436	79130	101946
437	79292	101740
438	79481	101570
439	79659	101384
440	79833	101194
441	80020	101021
442	80169	100800
443	80371	100645
444	80547	100458
445	80732	100282
446	80990	100196
447	81225	100081
448	81452	99956
449	81661	99808
450	81918	99718
451	82073	99504
452	82264	99335
453	82483	99198
454	82667	99019
455	82862	98853
456	83086	98721
457	83289	98565
458	83478	98391
459	83696	98252
460	83891	98085
461	84088	97921
462	84245	97709
463	84428	97530
464	84607	97343
465	84799	97173
466	84993	97004
467	85190	96840
468	85321	96600
469	85513	96429
470	85727	96283
471	85920	96114
472	86113	95944
473	86265	95729
474	86438	95536
475	86627	95363
476	86794	95164
477	86934	94937
478	87090	94726
479	87283	94556
480	87425	94332
481	87620	94164
482	87795	93975
483	87935	93749
484	88172	93626
485	88398	93490
486	88626	93358
487	88830	93199
488	89001	93005
489	89185	92825
490	89377	92653
491	89592	92506
492	89814	92364
493	90005	92192
494	90218	92041
495	90372	91829
496	90571	91664
497	90775	91504
498	90954	91318
499	91117	91117
500	91335	90970
501	91529	90799
502	91757	90662
503	92030	90569
504	92210	90384
505	92419	90228
506	92611	90053
507	92804	89881
508	92989	89701
509	93178	89524
510	93310	89293
511	93503	89120
512	93661	88914
513	93841	88729
514	94047	88569
515	94243	88398
516	94469	88256
517	94640	88063
518	94832	87889
519	95015	87706
520	95202	87527
521	95367	87329
522	95550	87146
523	95715	86947
524	95904	86770
525	96109	86607
526	96266	86402
527	96511	86275
528	96728	86122
529	96962	85985
530	97187	85839
531	97355	85643
532	97519	85444
533	97693	85253
534	97874	85068
535	98065	84892
536	98265	84723
537	98441	84535
538	98633	84360
539	98876	84228
540	99096	84076
541	99309	83918
542	99554	83786
543	99805	83660
544	99962	83454
545	100147	83272
546	100338	83095
547	100527	82916
548	100718	82739
549	100912	82564
550	101090	82376
551	101261	82183
552	101436	81992
553	101620	81809
554	101811	81633
555	101993	81447
556	102173	81261
557	102371	81090
558	102534	80889
559	102738	80723
560	102954	80565
561	103162	80400
562	103368	80234
563	103559	80057
564	103754	79882
565	103964	79718
566	104160	79544
567	104350	79365
568	104617	79244
569	104808	79066
570	105090	78955
571	105268	78767
572	105421	78560
573	105582	78359
574	105780	78185
575	105944	77986
576	106150	77819
577	106336	77636
578	106517	77450
579	106667	77241
580	106851	77058
581	107035	76874
582	107221	76691
583	107426	76523
584	107652	76368
585	107852	76195
586	108041	76015
587	108226	75832
588	108428	75660
589	108618	75480
590	108815	75305
591	109006	75126
592	109194	74944
593	109389	74767
594	109569	74580
595	109734	74383
596	109909	74193
597	110082	74002
598	110218	73785
599	110364	73576
600	110544	73389
601	110776	73237
602	110965	73056
603	111163	72881
604	111368	72711
605	111592	72553
606	111766	72363
607	111940	72172
608	112078	71958
609	112321	71812
610	112548	71655
611	112774	71497
612	112960	71314
613	113168	71145
614	113346	70956
615	113514	70762
616	113686	70570
617	113863	70381
618	114060	70205
619	114275	70039
620	114487	69872
621	114652	69676
622	114848	69499
623	115033	69314
624	115209	69125
625	115404	68947
626	115605	68773
627	115777	68581
628	115979	68407
629	116193	68240
630	116402	68070
631	116612	67901
632	116809	67723
633	117001	67543
634	117206	67370
635	117415	67200
636	117646	67041
637	117837	66860
638	118025	66678
639	118210	66493
640	118379	66299
641	118602	66136
642	118823	65971
643	119002	65783
644	119205	65609
645	119403	65431
646	119583	65244
647	119786	65069
648	119962	64879
649	120163	64703
650	120354	64522
651	120520	64326
652	120705	64142
653	120912	63969
654	121099	63785
655	121286	63601
656	121487	63424
657	121680	63244
658	121874	63064
659	122042	62870
660	122230	62686
661	122450	62520
662	122664	62349
663	122872	62176
664	123062	61993
665	123228	61799
666	123456	61635
667	123646	61453
668	123835	61269
669	124083	61115
670	124256	60924
671	124442	60739
672	124602	60542
673	124775	60351
674	124938	60155
675	125159	59987
676	125355	59807
677	125509	59607
678	125686	59418
679	125867	59231
680	126081	59060
681	126280	58881
682	126448	58688
683	126656	58513
684	126845	58330
685	127042	58150
686	127239	57970
687	127452	57798
688	127650	57618
689	127917	57469
690	128144	57303
691	128376	57138
692	128555	56950
693	128769	56777
694	128995	56609
695	129185	56425
696	129407	56256
697	129602	56074
698	129782	55886
699	129987	55708
700	130203	55535
701	130368	55341
702	130604	55177
703	130789	54991
704	130989	54811
705	131165	54621
706	131342	54431
707	131554	54256
708	131733	54068
709	131902	53875
710	132095	53692
711	132249	53494
712	132417	53301
713	132641	53130
714	132860	52958
715	133020	52762
716	133195	52572
717	133382	52386
718	133576	52204
719	133782	52026
720	133948	51833
721	134097	51633
722	134287	51449
723	134468	51261
724	134646	51072
725	134825	50884
726	134969	50683
727	135190	50510
728	135397	50333
729	135567	50141
730	135763	49959
731	135973	49782
732	136201	49612
733	136359	49416
734	136537	49227
735	136736	49046
736	136973	48879
737	137159	48693
738	137345	48507
739	137546	48327
740	137712	48134
741	137931	47960
742	138099	47767
743	138268	47576
744	138456	47391
745	138640	47204
746	138824	47018
747	139013	46833
748	139191	46644
749	139367	46455
750	139585	46280
751	139768	46093
752	139925	45898
753	140135	45720
754	140324	45535
755	140477	45339
756	140700	45165
757	140941	44997
758	141184	44829
759	141377	44645
760	141566	44460
761	141769	44279
762	141933	44086
763	142119	43900
764	142333	43723
765	142499	43531
766	142668	43339
767	142869	43158
768	143029	42964
769	143192	42771
770	143418	42597
771	143591	42407
772	143762	42217
773	143952	42032
774	144133	41845
775	144379	41676
776	144586	41496
777	144795	41317
778	145018	41141
779	145181	40948
780	145406	40773
781	145631	40598
782	145816	40411
783	146000	40224
784	146150	40028
785	146306	39834
786	146443	39634
787	146614	39444
788	146764	39248
789	146912	39052
790	147118	38871
791	147330	38692
792	147571	38521
793	147757	38334
794	147952	38151
795	148159	37970
796	148341	37783
797	148535	37599
798	148745	37419
799	148915	37228
800	149119	37047
801	149318	36864
802	149503	36677
803	149702	36494
804	149930	36318
805	150111	36131
806	150335	35953
807	150536	35771
808	150790	35600
809	150993	35418
810	151227	35242
811	151432	35060
812	151610	34872
813	151780	34681
814	151998	34502
815	152148	34308
816	152298	34113
817	152501	33930
818	152688	33744
819	152901	33563
820	153109	33381
821	153301	33196
822	153547	33022
823	153765	32843
824	153979	32662
825	154140	32470
826	154318	32281
827	154530	32100
828	154716	31913
829	154895	31725
830	155146	31552
831	155347	31368
832	155516	31178
833	155715	30993
834	155906	30807
835	156096	30621
836	156347	30447
837	156550	30263
838	156738	30077
839	156911	29887
840	157110	29703
841	157350	29526
842	157584	29348
843	157811	29168
844	158027	28987
845	158224	28802
846	158457	28623
847	158627	28433
848	158799	28243
849	159004	28059
850	159211	27876
851	159423	27693
852	159652	27513
853	159860	27329
854	160067	27145
855	160297	26965
856	160546	26788
857	160740	26602
858	160937	26416
859	161112	26227
860	161290	26038
861	161478	25851
862	161698	25669
863	161851	25476
864	162056	25292
865	162240	25104
866	162433	24917
867	162621	24730
868	162839	24547
869	163031	24360
870	163272	24181
871	163490	23998
872	163676	23810
873	163927	23632
874	164111	23444
875	164300	23257
876	164479	23068
877	164649	22878
878	164855	22693
879	165047	22506
880	165215	22316
881	165388	22126
882	165654	21949
883	165841	21761
884	166052	21577
885	166206	21385
886	166396	21198
887	166622	21015
888	166840	20831
889	167125	20655
890	167331	20470
891	167576	20289
892	167836	20110
893	168103	19931
894	168315	19746
895	168507	19558
896	168729	19374
897	168898	19184
898	169070	18994
899	169366	18818
900	169532	18627
901	169692	18436
902	169877	18248
903	170082	18061
904	170221	17868
905	170425	17682
906	170579	17490
907	170817	17307
908	171024	17121
909	171215	16933
910	171441	16748
911	171619	16559
912	171799	16370
913	171942	16178
914	172133	15990
915	172319	15802
916	172555	15618
917	172705	15426
918	172886	15238
919	173114	15053
920	173311	14865
921	173517	14679
922	173719	14492
923	173908	14304
924	174132	14118
925	174313	13930
926	174504	13742
927	174717	13555
928	174904	13367
929	175064	13176
930	175262	12989
931	175479	12803
932	175670	12615
933	175920	12431
934	176147	12245
935	176377	12059
936	176591	11873
937	176779	11684
938	176997	11498
939	177162	11308
940	177360	11120
941	177611	10935
942	177796	10746
943	178033	10561
944	178217	10372
945	178403	10183
946	178606	9995
947	178778	9806
948	179040	9621
949	179265	9435
950	179473	9247
951	179672	9059
952	179901	8872
953	180142	8686
954	180346	8498
955	180577	8311
956	180840	8125
957	181057	7937
958	181295	7750
959	181487	7561
960	181688	7373
961	181871	7184
962	182085	6996
963	182367	6810
964	182546	6620
965	182733	6431
966	182947	6243
967	183134	6054
968	183385	5866
969	183602	5678
970	183826	5490
971	184032	5301
972	184214	5111
973	184396	4922
974	184644	4734
975	184839	4545
976	185021	4355
977	185223	4166
978	185378	3976
979	185571	3787
980	185760	3597
981	185935	3408
982	186148	3219
983	186326	3029
984	186499	2840
985	186698	2650
986	186872	2461
987	187107	2272
988	187282	2083
989	187480	1893
990	187674	1704
991	187911	1515
992	188101	1325
993	188283	1136
994	188458	947
995	188632	757
996	188873	568
997	189072	378
998	189275	189
999	189481	0
